time	V(1)	V(2)
Step Information: Routput=100  (Step: 1/5)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.556502884272083e-11	2.556503e-02	2.469508e-05
5.014205819204944e-11	5.014206e-02	9.554216e-05
1.000000000000000e-10	1.000000e-01	3.061532e-04
4.589803857396096e-10	1.000000e-01	2.471373e-03
8.193685376978060e-10	1.000000e-01	4.585013e-03
1.540144841614199e-09	1.000000e-01	8.640107e-03
2.981697449446984e-09	1.000000e-01	1.611530e-02
5.864802665112554e-09	1.000000e-01	2.916544e-02
9.916313736934408e-09	1.000000e-01	4.430162e-02
1.427396572231534e-08	1.000000e-01	5.686041e-02
2.019603082367816e-08	1.000000e-01	6.914999e-02
2.768869240259801e-08	1.000000e-01	7.950920e-02
3.765663116815393e-08	1.000000e-01	8.777425e-02
4.873041393368866e-08	1.000000e-01	9.267719e-02
6.289810621901363e-08	1.000000e-01	9.555689e-02
7.990991461159517e-08	1.000000e-01	9.691609e-02
1.036145237995290e-07	1.000000e-01	9.747867e-02
1.126755007471702e-02	1.000000e-01	8.016246e-02
1.615036257471702e-02	1.000000e-01	7.329883e-02
2.103317507471702e-02	1.000000e-01	6.686716e-02
2.591598757471702e-02	1.000000e-01	6.084327e-02
3.079880007471702e-02	1.000000e-01	5.520426e-02
3.568161257471703e-02	1.000000e-01	4.992843e-02
4.056442507471703e-02	1.000000e-01	4.499526e-02
4.544723757471703e-02	1.000000e-01	4.038526e-02
5.033005007471703e-02	1.000000e-01	3.608003e-02
5.521286257471703e-02	1.000000e-01	3.206213e-02
6.009567507471703e-02	1.000000e-01	2.831504e-02
6.497848757471703e-02	1.000000e-01	2.482313e-02
6.986130007471703e-02	1.000000e-01	2.157161e-02
7.474411257471703e-02	1.000000e-01	1.854650e-02
7.962692507471703e-02	1.000000e-01	1.573453e-02
8.450973757471703e-02	1.000000e-01	1.312319e-02
8.939255007471703e-02	1.000000e-01	1.070063e-02
9.427536257471703e-02	1.000000e-01	8.455629e-03
9.915817507471703e-02	1.000000e-01	6.377602e-03
1.040409875747170e-01	1.000000e-01	4.456524e-03
1.089238000747170e-01	1.000000e-01	2.682923e-03
1.138066125747170e-01	1.000000e-01	1.047848e-03
1.186894250747170e-01	1.000000e-01	-4.571638e-04
1.235722375747170e-01	1.000000e-01	-1.840104e-03
1.284550500747170e-01	1.000000e-01	-3.108525e-03
1.333378625747170e-01	1.000000e-01	-4.269557e-03
1.382206750747170e-01	1.000000e-01	-5.329937e-03
1.431034875747170e-01	1.000000e-01	-6.296022e-03
1.479863000747170e-01	1.000000e-01	-7.173815e-03
1.528691125747170e-01	1.000000e-01	-7.968980e-03
1.577519250747170e-01	1.000000e-01	-8.686861e-03
1.626347375747170e-01	1.000000e-01	-9.332500e-03
1.724003625747170e-01	1.000000e-01	-1.042580e-02
1.821659875747170e-01	1.000000e-01	-1.128375e-02
1.919316125747170e-01	1.000000e-01	-1.193730e-02
2.065800500747170e-01	1.000000e-01	-1.259363e-02
2.212284875747170e-01	1.000000e-01	-1.293105e-02
2.358769250747170e-01	1.000000e-01	-1.301598e-02
2.505253625747170e-01	1.000000e-01	-1.290354e-02
2.651738000747170e-01	1.000000e-01	-1.263926e-02
2.798222375747170e-01	1.000000e-01	-1.226058e-02
2.944706750747170e-01	1.000000e-01	-1.179821e-02
3.091191125747170e-01	1.000000e-01	-1.127712e-02
3.286503625747170e-01	1.000000e-01	-1.052539e-02
3.481816125747170e-01	1.000000e-01	-9.742038e-03
3.677128625747170e-01	1.000000e-01	-8.954415e-03
3.872441125747170e-01	1.000000e-01	-8.182171e-03
4.116581750747170e-01	1.000000e-01	-7.258871e-03
4.360722375747170e-01	1.000000e-01	-6.397577e-03
4.653691125747170e-01	1.000000e-01	-5.458070e-03
4.995488000747170e-01	1.000000e-01	-4.497331e-03
5.337284875747170e-01	1.000000e-01	-3.678389e-03
5.679081750747170e-01	1.000000e-01	-2.990167e-03
6.020878625747170e-01	1.000000e-01	-2.418215e-03
6.411503625747170e-01	1.000000e-01	-1.887181e-03
6.802128625747170e-01	1.000000e-01	-1.465721e-03
7.241581750747170e-01	1.000000e-01	-1.097686e-03
7.729863000747170e-01	1.000000e-01	-7.920974e-04
8.266972375747170e-01	1.000000e-01	-5.504488e-04
8.901738000747170e-01	1.000000e-01	-3.560383e-04
9.682988000747170e-01	1.000000e-01	-2.068881e-04
1.000000000100000e+00	1.000000e-01	-1.656897e-04
1.000000000130000e+00	7.000000e-02	-2.008606e-04
1.000000000159332e+00	4.066791e-02	-2.831100e-04
1.000000000200000e+00	0.000000e+00	-4.748905e-04
1.000000000567512e+00	0.000000e+00	-2.690608e-03
1.000000000940858e+00	0.000000e+00	-4.877489e-03
1.000000001687550e+00	0.000000e+00	-9.066963e-03
1.000000003180933e+00	0.000000e+00	-1.676817e-02
1.000000006167700e+00	0.000000e+00	-2.986908e-02
1.000000012102368e+00	0.000000e+00	-5.030083e-02
1.000000018126521e+00	0.000000e+00	-6.506830e-02
1.000000026350793e+00	0.000000e+00	-7.806253e-02
1.000000034750884e+00	0.000000e+00	-8.608194e-02
1.000000046139479e+00	0.000000e+00	-9.195457e-02
1.000000058598139e+00	0.000000e+00	-9.510344e-02
1.000000075832480e+00	0.000000e+00	-9.685785e-02
1.000000096429788e+00	0.000000e+00	-9.755466e-02
1.000000776328961e+00	0.000000e+00	-9.782331e-02
1.005659666475765e+00	0.000000e+00	-8.871827e-02
1.015425291475765e+00	0.000000e+00	-7.443871e-02
1.020308103975765e+00	0.000000e+00	-6.793945e-02
1.025190916475765e+00	0.000000e+00	-6.185163e-02
1.030073728975765e+00	0.000000e+00	-5.615218e-02
1.034956541475765e+00	0.000000e+00	-5.081923e-02
1.039839353975765e+00	0.000000e+00	-4.583204e-02
1.044722166475765e+00	0.000000e+00	-4.117101e-02
1.049604978975765e+00	0.000000e+00	-3.681757e-02
1.054487791475765e+00	0.000000e+00	-3.275411e-02
1.059370603975765e+00	0.000000e+00	-2.896399e-02
1.064253416475765e+00	0.000000e+00	-2.543144e-02
1.069136228975765e+00	0.000000e+00	-2.214156e-02
1.074019041475765e+00	0.000000e+00	-1.908023e-02
1.078901853975765e+00	0.000000e+00	-1.623409e-02
1.083784666475765e+00	0.000000e+00	-1.359050e-02
1.088667478975765e+00	0.000000e+00	-1.113751e-02
1.093550291475765e+00	0.000000e+00	-8.863813e-03
1.098433103975765e+00	0.000000e+00	-6.758728e-03
1.103315916475765e+00	0.000000e+00	-4.812142e-03
1.108198728975765e+00	0.000000e+00	-3.014502e-03
1.113081541475765e+00	0.000000e+00	-1.356775e-03
1.117964353975765e+00	0.000000e+00	1.695729e-04
1.122847166475765e+00	0.000000e+00	1.572606e-03
1.127729978975765e+00	0.000000e+00	2.859942e-03
1.132612791475765e+00	0.000000e+00	4.038777e-03
1.137495603975765e+00	0.000000e+00	5.115905e-03
1.142378416475765e+00	0.000000e+00	6.097743e-03
1.147261228975765e+00	0.000000e+00	6.990348e-03
1.152144041475765e+00	0.000000e+00	7.799434e-03
1.157026853975765e+00	0.000000e+00	8.530395e-03
1.161909666475765e+00	0.000000e+00	9.188319e-03
1.171675291475765e+00	0.000000e+00	1.030397e-02
1.181440916475765e+00	0.000000e+00	1.118159e-02
1.191206541475765e+00	0.000000e+00	1.185242e-02
1.200972166475765e+00	0.000000e+00	1.234420e-02
1.215620603975765e+00	0.000000e+00	1.279913e-02
1.230269041475765e+00	0.000000e+00	1.297721e-02
1.244917478975765e+00	0.000000e+00	1.293769e-02
1.259565916475765e+00	0.000000e+00	1.272960e-02
1.274214353975765e+00	0.000000e+00	1.239337e-02
1.288862791475765e+00	0.000000e+00	1.196215e-02
1.303511228975765e+00	0.000000e+00	1.146303e-02
1.323042478975765e+00	0.000000e+00	1.072927e-02
1.342573728975765e+00	0.000000e+00	9.953986e-03
1.362104978975765e+00	0.000000e+00	9.167171e-03
1.381636228975765e+00	0.000000e+00	8.390525e-03
1.406050291475765e+00	0.000000e+00	7.456787e-03
1.430464353975765e+00	0.000000e+00	6.581690e-03
1.459761228975765e+00	0.000000e+00	5.623447e-03
1.489058103975765e+00	0.000000e+00	4.771742e-03
1.523237791475765e+00	0.000000e+00	3.911312e-03
1.557417478975765e+00	0.000000e+00	3.185268e-03
1.591597166475765e+00	0.000000e+00	2.579931e-03
1.625776853975765e+00	0.000000e+00	2.080042e-03
1.664839353975765e+00	0.000000e+00	1.618449e-03
1.703901853975765e+00	0.000000e+00	1.253851e-03
1.747847166475765e+00	0.000000e+00	9.367798e-04
1.796675291475765e+00	0.000000e+00	6.744928e-04
1.855269041475765e+00	0.000000e+00	4.523784e-04
1.923628416475765e+00	0.000000e+00	2.822001e-04
2.000000000000000e+00	0.000000e+00	1.654758e-04
2.000000000030000e+00	3.000000e-02	2.006440e-04
2.000000000059312e+00	5.931167e-02	2.828127e-04
2.000000000100000e+00	1.000000e-01	4.746774e-04
2.000000000467234e+00	1.000000e-01	2.688746e-03
2.000000000840298e+00	1.000000e-01	4.874046e-03
2.000000001586425e+00	1.000000e-01	9.060625e-03
2.000000003078679e+00	1.000000e-01	1.675699e-02
2.000000006063188e+00	1.000000e-01	2.985044e-02
2.000000011997805e+00	1.000000e-01	5.028739e-02
2.000000018020180e+00	1.000000e-01	6.505544e-02
2.000000026244547e+00	1.000000e-01	7.805479e-02
2.000000034642432e+00	1.000000e-01	8.607578e-02
2.000000046030520e+00	1.000000e-01	9.195122e-02
2.000000058485884e+00	1.000000e-01	9.510131e-02
2.000000075718356e+00	1.000000e-01	9.685690e-02
2.000000096309227e+00	1.000000e-01	9.755421e-02
2.000000775886678e+00	1.000000e-01	9.782319e-02
2.005656908962308e+00	1.000000e-01	8.872243e-02
2.015422533962308e+00	1.000000e-01	7.444239e-02
2.020305346462308e+00	1.000000e-01	6.794289e-02
2.025188158962308e+00	1.000000e-01	6.185486e-02
2.030070971462308e+00	1.000000e-01	5.615520e-02
2.034953783962308e+00	1.000000e-01	5.082204e-02
2.039836596462308e+00	1.000000e-01	4.583468e-02
2.044719408962308e+00	1.000000e-01	4.117347e-02
2.049602221462308e+00	1.000000e-01	3.681986e-02
2.054485033962308e+00	1.000000e-01	3.275624e-02
2.059367846462308e+00	1.000000e-01	2.896597e-02
2.064250658962308e+00	1.000000e-01	2.543329e-02
2.069133471462308e+00	1.000000e-01	2.214328e-02
2.074016283962308e+00	1.000000e-01	1.908183e-02
2.078899096462308e+00	1.000000e-01	1.623557e-02
2.083781908962308e+00	1.000000e-01	1.359187e-02
2.088664721462308e+00	1.000000e-01	1.113877e-02
2.093547533962308e+00	1.000000e-01	8.864986e-03
2.098430346462308e+00	1.000000e-01	6.759811e-03
2.103313158962308e+00	1.000000e-01	4.813140e-03
2.108195971462308e+00	1.000000e-01	3.015420e-03
2.113078783962308e+00	1.000000e-01	1.357619e-03
2.117961596462308e+00	1.000000e-01	-1.687988e-04
2.122844408962308e+00	1.000000e-01	-1.571897e-03
2.127727221462308e+00	1.000000e-01	-2.859295e-03
2.132610033962308e+00	1.000000e-01	-4.038187e-03
2.137492846462308e+00	1.000000e-01	-5.115370e-03
2.142375658962308e+00	1.000000e-01	-6.097259e-03
2.147258471462308e+00	1.000000e-01	-6.989910e-03
2.152141283962308e+00	1.000000e-01	-7.799041e-03
2.157024096462308e+00	1.000000e-01	-8.530042e-03
2.161906908962308e+00	1.000000e-01	-9.188005e-03
2.171672533962308e+00	1.000000e-01	-1.030373e-02
2.181438158962308e+00	1.000000e-01	-1.118140e-02
2.191203783962308e+00	1.000000e-01	-1.185229e-02
2.200969408962308e+00	1.000000e-01	-1.234411e-02
2.215617846462308e+00	1.000000e-01	-1.279910e-02
2.230266283962308e+00	1.000000e-01	-1.297722e-02
2.244914721462308e+00	1.000000e-01	-1.293774e-02
2.259563158962308e+00	1.000000e-01	-1.272967e-02
2.274211596462308e+00	1.000000e-01	-1.239346e-02
2.288860033962308e+00	1.000000e-01	-1.196225e-02
2.303508471462308e+00	1.000000e-01	-1.146314e-02
2.323039721462308e+00	1.000000e-01	-1.072939e-02
2.342570971462308e+00	1.000000e-01	-9.954107e-03
2.362102221462308e+00	1.000000e-01	-9.167290e-03
2.381633471462308e+00	1.000000e-01	-8.390642e-03
2.406047533962308e+00	1.000000e-01	-7.456896e-03
2.430461596462308e+00	1.000000e-01	-6.581790e-03
2.459758471462308e+00	1.000000e-01	-5.623537e-03
2.489055346462308e+00	1.000000e-01	-4.771820e-03
2.523235033962308e+00	1.000000e-01	-3.911379e-03
2.557414721462308e+00	1.000000e-01	-3.185324e-03
2.591594408962308e+00	1.000000e-01	-2.579977e-03
2.625774096462308e+00	1.000000e-01	-2.080080e-03
2.664836596462308e+00	1.000000e-01	-1.618479e-03
2.703899096462308e+00	1.000000e-01	-1.253875e-03
2.747844408962308e+00	1.000000e-01	-9.367975e-04
2.796672533962308e+00	1.000000e-01	-6.745058e-04
2.855266283962308e+00	1.000000e-01	-4.523872e-04
2.923625658962308e+00	1.000000e-01	-2.822056e-04
3.000000000100000e+00	1.000000e-01	-1.654753e-04
3.000000000130000e+00	7.000000e-02	-2.006436e-04
3.000000000159312e+00	4.068833e-02	-2.828118e-04
3.000000000200000e+00	0.000000e+00	-4.746757e-04
3.000000000567232e+00	0.000000e+00	-2.688729e-03
3.000000000940293e+00	0.000000e+00	-4.874016e-03
3.000000001686415e+00	0.000000e+00	-9.060570e-03
3.000000003178660e+00	0.000000e+00	-1.675689e-02
3.000000006163148e+00	0.000000e+00	-2.985027e-02
3.000000012097765e+00	0.000000e+00	-5.028727e-02
3.000000018120124e+00	0.000000e+00	-6.505533e-02
3.000000026344492e+00	0.000000e+00	-7.805472e-02
3.000000034742357e+00	0.000000e+00	-8.607573e-02
3.000000046130440e+00	0.000000e+00	-9.195119e-02
3.000000058585775e+00	0.000000e+00	-9.510130e-02
3.000000075818231e+00	0.000000e+00	-9.685689e-02
3.000000096409044e+00	0.000000e+00	-9.755421e-02
3.000000775983634e+00	0.000000e+00	-9.782318e-02
3.005656884543341e+00	0.000000e+00	-8.872247e-02
3.015422509543341e+00	0.000000e+00	-7.444243e-02
3.020305322043341e+00	0.000000e+00	-6.794292e-02
3.025188134543341e+00	0.000000e+00	-6.185489e-02
